datetime,open,high,low,close,volume,missing,return
2024-02-29 00:00:00-05:00,76.647,83.7825,75.41,82.96,8325177.0,False,
2024-03-01 00:00:00-05:00,,,,,,True,0.0
2024-03-02 00:00:00-05:00,,,,,,True,0.0
2024-03-03 00:00:00-05:00,80.945,84.59,80.17,81.54,5445089.0,False,-0.017116682738669065
2024-03-04 00:00:00-05:00,80.61,81.26,75.8,77.33,4914739.0,False,-0.05163110129997561
2024-03-05 00:00:00-05:00,79.15,81.07,77.5,77.81,4393007.0,False,0.00620716410190103
2024-03-06 00:00:00-05:00,78.305,81.4714,76.66,79.47,5501839.0,False,0.021334018763655038
2024-03-07 00:00:00-05:00,86.15,90.48,82.5,85.3,11695691.0,False,0.07336101673587514
2024-03-08 00:00:00-05:00,,,,,,True,0.0
2024-03-09 00:00:00-05:00,,,,,,True,0.0
2024-03-10 00:00:00-05:00,0.0,84.64,77.97,78.1,4967304.0,False,-0.08440797186400939
2024-03-11 00:00:00-04:00,80.47,80.96,75.34,76.28,4934266.0,False,-0.023303457106273906
2024-03-12 00:00:00-04:00,76.39,80.73,76.39,79.67,3052341.0,False,0.044441531200839046
2024-03-13 00:00:00-04:00,78.55,79.71,75.56,76.68,3554021.0,False,-0.03752981046818116
2024-03-14 00:00:00-04:00,75.91,82.27,74.42,79.58,7890851.0,False,0.03781950965049541
2024-03-15 00:00:00-04:00,,,,,,True,0.0
2024-03-16 00:00:00-04:00,,,,,,True,0.0
2024-03-17 00:00:00-04:00,80.14,83.06,78.64,80.79,3792781.0,False,0.015204825332998384
2024-03-18 00:00:00-04:00,78.585,80.6,76.1196,78.88,4614174.0,False,-0.02364153979452921
2024-03-19 00:00:00-04:00,80.21,86.45,79.52,86.42,6655000.0,False,0.09558823529411775
2024-03-20 00:00:00-04:00,86.06,89.96,85.765,87.71,4599570.0,False,0.014927100208284916
2024-03-21 00:00:00-04:00,87.02,87.71,84.4,85.94,2958060.0,False,-0.020180139094744032
2024-03-22 00:00:00-04:00,,,,,,True,0.0
2024-03-23 00:00:00-04:00,,,,,,True,0.0
2024-03-24 00:00:00-04:00,0.0,91.598,86.89,88.41,3882536.0,False,0.028740982080521338
2024-03-25 00:00:00-04:00,90.71,94.04,88.96,90.81,5030312.0,False,0.02714625042416019
2024-03-26 00:00:00-04:00,91.65,93.1,88.55,90.31,3844675.0,False,-0.005506001541680461
2024-03-27 00:00:00-04:00,90.46,92.01,85.7866,87.91,4015588.0,False,-0.026575130107407863
2024-03-28 00:00:00-04:00,,,,,,True,0.0
2024-03-29 00:00:00-04:00,,,,,,True,0.0
2024-03-30 00:00:00-04:00,,,,,,True,0.0
2024-03-31 00:00:00-04:00,87.58,87.82,85.05,86.79,2208793.0,False,-0.01274030258218617
2024-04-01 00:00:00-04:00,84.32,85.16,81.43,82.87,3082450.0,False,-0.045166493835695376
2024-04-02 00:00:00-04:00,81.56,84.31,80.8154,82.4,2129073.0,False,-0.005671533727525047
2024-04-03 00:00:00-04:00,84.0,86.57,82.0,82.44,3727213.0,False,0.00048543689320368344
2024-04-04 00:00:00-04:00,81.32,84.6,80.91,83.84,2165705.0,False,0.016982047549733315
2024-04-05 00:00:00-04:00,,,,,,True,0.0
2024-04-06 00:00:00-04:00,,,,,,True,0.0
2024-04-07 00:00:00-04:00,85.72,86.86,82.64,82.67,2044321.0,False,-0.013955152671755733
2024-04-08 00:00:00-04:00,83.84,84.55,80.48,83.68,2612936.0,False,0.012217249304463662
2024-04-09 00:00:00-04:00,80.05,83.28,78.65,80.52,3581970.0,False,-0.03776290630975154
2024-04-10 00:00:00-04:00,79.91,81.48,76.92,80.44,4823784.0,False,-0.0009935419771485154
2024-04-11 00:00:00-04:00,78.65,79.09,74.26,74.99,4132792.0,False,-0.06775236200895085
2024-04-12 00:00:00-04:00,,,,,,True,0.0
2024-04-13 00:00:00-04:00,,,,,,True,0.0
2024-04-14 00:00:00-04:00,74.72,75.2,69.12,69.83,5889171.0,False,-0.06880917455660751
2024-04-15 00:00:00-04:00,68.92,71.3392,68.3694,70.64,4598221.0,False,0.011599599026206553
2024-04-16 00:00:00-04:00,72.2,73.39,67.95,69.16,3541612.0,False,-0.020951302378256043
2024-04-17 00:00:00-04:00,71.75,73.25,69.25,71.15,4730427.0,False,0.028773857721226204
2024-04-18 00:00:00-04:00,69.58,72.07,69.47,71.36,3360840.0,False,0.002951510892480691
2024-04-19 00:00:00-04:00,,,,,,True,0.0
2024-04-20 00:00:00-04:00,,,,,,True,0.0
2024-04-21 00:00:00-04:00,72.4,72.99,67.61,71.44,4099735.0,False,0.0011210762331839152
2024-04-22 00:00:00-04:00,72.79,77.53,72.06,75.62,4324580.0,False,0.0585106382978724
2024-04-23 00:00:00-04:00,76.0,77.98,74.88,75.35,2851943.0,False,-0.00357048399894222
2024-04-24 00:00:00-04:00,71.5,77.53,71.39,77.5,3295934.0,False,0.02853351028533524
2024-04-25 00:00:00-04:00,77.95,84.51,77.0,84.31,4887363.0,False,0.08787096774193559
2024-04-26 00:00:00-04:00,,,,,,True,0.0
2024-04-27 00:00:00-04:00,,,,,,True,0.0
2024-04-28 00:00:00-04:00,85.76,88.48,83.35,83.76,4841944.0,False,-0.006523544063574915
2024-04-29 00:00:00-04:00,82.0,83.63,80.07,82.92,3907946.0,False,-0.01002865329512903
2024-04-30 00:00:00-04:00,0.0,91.12,82.0,87.09,13079158.0,False,0.05028943560057897
2024-05-01 00:00:00-04:00,,,,,,True,0.0
